Code,Nitrosocosmicus sp.,Udaeobacter sp.,Gemmata sp.,Humicola olivacea,Aspergillus terreus,Ilumatobacter sp.,Talaromyces marneffei,Scytalidium sp.,Rubrobacter sp.,Fusarium brachygibbosum,Humicola sp.,Curvularia lunata,Neobacillus drentensis,Rhodoplanes sp.,Solirubrobacter sp.,Target_Crop_Grouped,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Frijol,Irrigation_Type_Superficie,Product_1_Type_Fertilizante sintético
AZM04K,1.0463439709289457,2.4712176541185444,1.221555788098624,-0.968785866105032,-4.42455755044078,1.6298578160455288,0.0712328636450137,1.7986987494887547,0.8940895975951899,-4.42455755044078,1.9527731010994471,-4.42455755044078,1.2932561242580276,2.57607378749219,2.245444734269678,2,-1,-1,-1,0,0,0,0,0,0,0
AZM04L,2.1377253425754126,-2.8426094399646566,0.2136858021064958,1.1182422282676316,-1.0148577252960185,0.8042612060664525,-2.663923710945616,0.997531659972548,1.412343784604321,-0.5819840334656139,3.395394723475911,1.4341664175223383,-5.465687880021129,0.3787201847919234,1.6202470266513185,3,-1,1,-1,0,0,0,0,0,0,0
AZM04M,0.9399190772199484,0.5755897141733384,-0.1206043699568867,-0.3562639092061305,1.245043007833196,-0.3527969759243433,0.1961378498457507,0.267932195932261,0.6313860214193249,-0.1262260812727468,0.4712983203914768,-1.3142931436494918,0.4126688504883009,0.2030583456149327,0.9359249803659028,1,1,0,0,2,2,2,8,0,0,1
AZM04N,1.6211913306549883,-1.6997081828076008,-0.4195633060813971,-1.1764964965068734,2.031073359591448,0.118242758476754,0.3588127486084047,-1.0605042992543232,1.460148658297646,-2.226532137442871,2.4920854080328825,1.2338349220447866,0.1276950185722162,0.509373971459925,1.647876503077247,0,-1,-1,-1,0,0,0,0,0,0,0
AZM04O,1.9060612431708184,-0.2383035477990859,0.4647906345431056,1.1164807214634085,1.236178024588715,0.7301537814431913,3.4214368209486907,-0.1181375052825209,0.9101520444888824,-5.025011048435725,2.6750816957542565,-1.7276231050438478,-5.025011048435725,1.6153813191122608,1.6517023009619882,0,-1,-1,-1,0,0,0,0,0,0,0
AZM04P,1.7345527892743289,-1.834964064475894,0.0013806269198648,-2.555705510446736,3.4589972391357837,0.1461523532501931,0.0540415858996562,0.2711923146008319,1.2578468618033511,-2.119416473401155,0.8621641693265331,0.1011888651536421,0.4144266506131472,0.8982630932624746,1.8923155895327717,1,0,0,0,1,2,1,4,0,1,1
AZM04R,1.4723209445831495,0.3665769466791004,-0.8976600177769641,-1.8767425365992216,2.780722860915797,-0.6490315164430868,-1.4693537094291722,-0.2499403174916323,0.9074730454844112,-0.6089148981582521,0.0630479010718575,1.5545122249073855,1.070816929653568,0.0830232808619033,1.3650505828145616,1,1,0,0,1,1,1,4,0,0,1
AZM04S,1.3802271580726635,0.3690576344873562,-0.5941555455219036,-1.905406801678843,-3.079674870689088,-0.0284194030583783,0.6123506292296766,0.3537742046333481,-0.1249439287804291,-1.893143819919284,2.3480536530967435,-0.8952997401115798,0.4916186826536931,0.2370484100194735,1.060231743184984,1,1,0,0,4,2,2,8,0,0,1
AZM04T,1.4072956080780914,0.4657256791921094,-0.6933288459020961,-0.1574366026536654,-2.135208651921847,-0.8509124213459832,-2.6332453072741533,-1.8641658294352252,0.9624495623193504,0.2778508572077238,-1.2619240138380283,3.065311916837249,0.4218902108499242,-0.2454724169799919,1.1419416713371868,1,1,0,0,1,2,2,8,0,0,1
AZM04U,1.2620789028545598,0.1609329517888335,-0.1319368483456674,-2.3744126559218097,0.2685474354646223,0.7403946750278081,0.3650651160943511,-1.0687675654857716,1.337111672154251,-5.358928684814163,-0.7270351449031877,0.8730466078030381,1.0740335879188885,1.349087493991061,2.081897239970373,2,-1,-1,-1,0,0,0,0,0,0,0
