Microbe_Name
Dongia sp.
Ferrovibrio sp.
Pelagibius sp.
Paracaedibacter sp.
Reyranella massiliensis
Reyranella sp.
Bosea sp.
Bosea thiooxidans
Bosea vestrisii
Methylobacterium iners
Methylobacterium isbiliense
Methylobacterium organophilum
Methylocystis sp.
Methylorosula sp.
Methylosinus trichosporium
Microvirga guangxiensis
Microvirga massiliensis
Microvirga sp.
Microvirga vignae
Psychroglaciecola sp.
Salinarimonas sp.
Devosia confluentis
Devosia riboflavina
Devosia sp.
Filomicrobium sp.
Hyphomicrobium sp.
Pedomicrobium sp.
Labrys sp.
Methyloceanibacter sp.
Chthonobacter sp.
Prosthecomicrobium sp.
Agrobacterium tumefaciens
Rhizobium daejeonense
Rhizobium rosettiformans
Rhizobium sp.
Aminobacter sp.
Ensifer adhaerens
Sinorhizobium fredii
Sinorhizobium meliloti
Mesorhizobium amorphae
Mesorhizobium sp.
Mesorhizobium thiogangeticum
Zhengella mangrovi
Mycoplana sp.
Nitratireductor sp.
Shinella kummerowiae
Shinella zoogloeoides
Sinorhizobium terangae
Alsobacter metallidurans
Bauldia sp.
Nordella oligomobilis
Nordella sp.
Phreatobacter sp.
Tepidamorphus sp.
Rhodomicrobium sp.
Labrenzia suaedae
Bradyrhizobium cytisi
Bradyrhizobium sp.
Bradyrhizobium yuanmingense
Pseudolabrys sp.
Pseudorhodoplanes sp.
Rhodoplanes elegans
Rhodoplanes sp.
Albimonas pacifica
Amaricoccus sp.
Gemmobacter aquaticus
Gemmobacter tilapiae
Limibaculum sp.
Rhodobacter blasticus
Rhodobacter capsulatus
Rhodobacter sp.
Rubellimicrobium mesophilum
Rubellimicrobium sp.
Rubribacterium polymorphum
Rubribacterium sp.
Tabrizicola sp.
Tropicimonas sp.
Magnetospirillum gryphiswaldense
Magnetospirillum sp.
Riegeria sp.
Altererythrobacter dongtanensis
Altererythrobacter sp.
Blastomonas natatoria
Erythrobacter gaetbuli
Hephaestia sp.
Novosphingobium ginsenosidimutans
Novosphingobium nitrogenifigens
Novosphingobium sp.
Novosphingobium taihuense
Porphyrobacter donghaensis
Porphyrobacter sp.
Porphyrobacter tepidarius
Sandaracinobacter sp.
Sandarakinorhabdus sp.
Sphingoaurantiacus polygranulatus
Sphingobium herbicidovorans
Sphingobium sp.
Sphingomonas changbaiensis
Sphingomonas daechungensis
Sphingomonas ginsengisoli
Sphingomonas humi
Sphingomonas lutea
Sphingomonas oryziterrae
Sphingomonas rhizophila
Sphingomonas sediminicola
Sphingomonas sp.
Sphingomonas wittichii
Sphingomonas yantingensis
Sphingosinicella vermicomposti
Alysiosphaera sp.
Arboricoccus sp.
Geminicoccus sp.
Sulfuricaulis limicola
Sulfurifustis sp.
Sulfurifustis variabilis
Achromobacter xylosoxidans
Burkholderia dabaoshanensis
Caballeronia zhejiangensis
Cupriavidus necator
Cupriavidus oxalaticus
Cupriavidus respiraculi
Cupriavidus taiwanensis
Lautropia sp.
Limnobacter sp.
Limnobacter thiooxidans
Polynucleobacter cosmopolitanus
Pseudogulbenkiania subflava
Vogesella indigofera
Vogesella sp.
Acidovorax konjaci
Acidovorax sp.
Alicycliphilus denitrificans
Aquabacterium limnoticum
Azohydromonas lata
Azohydromonas sp.
Caldimonas manganoxidans
Comamonas aquatica
Comamonas sp.
Curvibacter fontanus
Curvibacter sp.
Hydrogenophaga intermedia
Hydrogenophaga sp.
Hylemonella gracilis
Ideonella dechloratans
Ideonella sp.
Inhella inkyongensis
Inhella sp.
Leptothrix sp.
Methylibium sp.
Mitsuaria chitosanitabida
Pelomonas saccharophila
